ApplNo,SubmissionNo,SponsorName,event_year,y,p_oof
125160,275,UCB INC,2024,0,0.7648672718506432
214876,3,GLAXOSMITHKLINE,2025,0,0.7645441092347085
208246,25,PFIZER,2025,0,0.762497017999099
213082,10,PFIZER,2025,0,0.7623445481926308
761118,7,PFIZER INC,2023,0,0.7622721530023625
761119,10,"Lundbeck Seattle BioPharmaceuticals, Inc.",2025,0,0.7618159649005912
125477,48,ELI LILLY AND CO,2025,0,0.7612238675484282
021343,47,TOLMAR,2023,0,0.7609035555981228
761113,9,SANOFI AVENTIS US,2023,0,0.7587298796921741
761036,44,JANSSEN BIOTECH,2023,0,0.7582525541567733
214985,11,IDORSIA,2024,0,0.7568635290893447
215499,8,VIIV HLTHCARE,2024,0,0.7550643390417727
213716,4,AURINIA,2024,0,0.7506957831429156
210496,16,ARRAY BIOPHARMA INC,2024,0,0.7486106541803553
211994,19,VIIV HLTHCARE,2024,0,0.747105084133823
213072,4,ALTHERA PHARMS,2024,0,0.7465554940170447
125504,44,NOVARTIS PHARMS CORP,2023,0,0.7433706547341692
761043,34,GLAXOSMITHKLINE LLC,2025,0,0.7391060053037666
217225,1,ASTELLAS,2024,1,0.7355958361275958
216403,5,TRAVERE,2025,0,0.734141195394043
761058,16,BOEHRINGER INGELHEIM,2023,0,0.7292508999550713
207620,25,NOVARTIS PHARMS CORP,2024,0,0.7281142959980806
211994,18,VIIV HLTHCARE,2024,0,0.7241135845098874
018680,74,COOPERSURGICAL,2023,0,0.7220373773044046
210251,23,GILEAD SCIENCES INC,2025,0,0.7217698707018907
761024,15,AMGEN INC,2023,0,0.7193095149265226
215596,7,TAKEDA PHARMS USA,2025,0,0.7131848725618154
213756,4,ASTRAZENECA,2024,0,0.709849836803158
761043,22,GLAXOSMITHKLINE LLC,2023,0,0.7096887127476325
125526,7,GLAXOSMITHKLINE LLC,2025,0,0.7094350760243496
204677,24,LANTHEUS,2025,0,0.7069249461257688
017031,41,LABORATOIRE HRA,2023,0,0.7066417938435937
761069,51,ASTRAZENECA UK LTD,2025,0,0.7038837345526634
761024,12,AMGEN INC,2023,0,0.7008131991806056
209481,24,MYLAN LABS LTD,2024,0,0.695597887254738
202008,46,AVID RADIOPHARMS INC,2025,0,0.6921972971817539
761067,18,SUN PHARMA GLOBAL,2024,0,0.6919875493648544
217700,2,DAY ONE BIOPHARMS,2025,0,0.6916148973135373
203469,38,TAKEDA PHARMS USA,2025,0,0.6889944895936726
761304,10,ARGENX BV,2025,0,0.6830385237273231
210498,10,ARRAY BIOPHARMA INC,2024,0,0.6791054221134333
761195,4,ARGENX BV,2024,0,0.666149023340263
207999,90001,INTERCEPT PHARMS INC,2024,1,0.6603348227136422
209241,26,NEUROCRINE,2023,0,0.6593062431154396
209899,11,BRISTOL,2024,0,0.6556632933561883
210496,18,ARRAY BIOPHARMA INC,2025,0,0.6551823520675916
761119,11,"Lundbeck Seattle BioPharmaceuticals, Inc.",2025,0,0.653385464106949
210922,12,ALNYLAM PHARMS INC,2023,0,0.651621250046998
210166,4,TAKEDA PHARMS USA,2025,0,0.6515795571929037
208215,23,GILEAD SCIENCES INC,2025,0,0.6474529335476815
125476,48,TAKEDA PHARMS USA,2023,0,0.6446819670980529
761066,3,SAMSUNG BIOEPIS CO LTD,2024,0,0.6442869233655761
203214,38,PF PRISM CV,2025,0,0.6438585650561113
761244,4,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,2025,0,0.6433282153572575
203094,18,GILEAD SCIENCES INC,2025,0,0.6430893702338096
215559,2,IPSEN,2025,0,0.6424435981401043
761128,6,NOVARTIS PHARMS CORP,2024,0,0.636591511228324
208351,15,GILEAD SCIENCES INC,2025,0,0.6356303947501787
103964,5276,Pharmaand GmbH,2023,0,0.6335855824611527
210498,11,ARRAY BIOPHARMA INC,2025,0,0.6254785704423828
020862,33,SANOFI,2025,0,0.625375059456816
210793,9,ACADIA PHARMS INC,2023,0,0.6226988479125967
203094,17,GILEAD SCIENCES INC,2025,0,0.6222274775970583
208351,14,GILEAD SCIENCES INC,2025,0,0.6096927099783443
207958,27,APRECIA PHARMS,2025,0,0.6039407345845631
205552,37,PHARMACYCLICS LLC,2022,0,0.6035520255633555
021137,5,GENUS LIFESCIENCES,2022,0,0.5943298180142728
202276,20,VIVUS LLC,2022,0,0.5858705671510225
761195,12,ARGENX BV,2025,0,0.585015957597891
761067,24,SUN PHARMA GLOBAL,2025,0,0.5817368151397554
210861,12,BAYER HLTHCARE,2025,0,0.5797504678305246
208692,18,EXELIXIS INC,2025,0,0.5794632843281899
761177,8,ASCENDIS PHARMA ENCOCRINOLOGY DIV A/S,2025,0,0.5793813623066445
215498,5,IPSEN,2025,0,0.5779106340766633
210942,2,SCILEX PHARMS,2024,0,0.5774155017847489
214846,5,SUMITOMO PHARMA AM,2023,0,0.5773901773685067
210365,20,JAZZ PHARMS RES,2023,0,0.5762620500270007
214755,6,AVADEL CNS,2024,0,0.5716488917149563
210922,90001,ALNYLAM PHARMS INC,2023,1,0.5567798657904041
205422,12,OTSUKA,2025,1,0.5566389191801104
211635,10,NEURELIS INC,2025,0,0.5557794937415207
021064,33,LANTHEUS MEDCL,2024,0,0.5520845636058928
212045,5,HIKMA,2025,0,0.5477221852754828
205422,14,OTSUKA,2025,0,0.5445631384931366
213217,9,BEONE MEDICINES USA,2023,0,0.5437337624425479
212479,2,SHORLA,2024,0,0.5428940776977227
211710,10,BAYER HEALTHCARE,2025,0,0.5386478183027503
211939,4,ALVOGEN,2023,0,0.5373749736423239
214621,6,SUMITOMO PHARMA AM,2024,0,0.535990935813647
022580,25,VIVUS LLC,2024,0,0.5350646061466916
203137,24,GE HEALTHCARE,2025,0,0.5341201298368353
212479,3,SHORLA,2024,0,0.5308784023983351
022405,22,GENZYME CORP,2024,0,0.530024014561151
210997,8,EXELA PHARMA,2025,0,0.5246592420852297
218033,2,DAY ONE BIOPHARMS,2025,0,0.5197594628078516
761066,1,SAMSUNG BIOEPIS CO LTD,2024,0,0.5181793624386032
761043,27,GLAXOSMITHKLINE LLC,2024,0,0.5124323989006121
214662,10,MIRUM,2024,0,0.5046301402660164
214998,1,BRISTOL,2023,0,0.4990641603156817
203050,3,AVYXA HOLDINGS,2025,0,0.4959049637542275
211675,17,ABBVIE,2023,0,0.4947258303529402
208558,28,ASTRAZENECA,2023,0,0.4615204036093711
203109,16,VIATRIS,2023,0,0.46060481351608806
213871,4,PFIZER,2023,0,0.4519267479910739
211994,14,VIIV HLTHCARE,2023,0,0.45067306636853904
211855,9,BIOGEN INC,2023,0,0.4427413425633643
209988,4,SCPHARMACEUTICALS,2025,0,0.4390707599242775
204063,29,BIOGEN INC,2023,0,0.4340080679520432
210563,17,PHARMACYCLICS LLC,2023,0,0.4280381901395419
215985,12,ARCUTIS,2025,0,0.40990759587070147
021379,49,TOLMAR,2023,0,0.4044499049940379
208843,5,THERAVIA,2025,0,0.39635537328481457
021839,31,IPSEN INC,2024,0,0.3952904162021826
212028,8,EISAI INC,2023,0,0.39524602403233494
212436,5,PFIZER,2023,0,0.3939159992960399
206947,28,EISAI INC,2023,0,0.3921948518837752
210951,14,JANSSEN BIOTECH,2023,0,0.39180254098470224
208558,21,ASTRAZENECA,2022,0,0.3911740207970861
214665,90001,AMGEN INC,2023,1,0.38270926578781433
208447,27,GLAXOSMITHKLINE,2023,0,0.38250881577102436
205552,40,PHARMACYCLICS LLC,2023,0,0.381321055303027
207103,17,PFIZER,2023,0,0.37772347489221086
020263,56,ABBVIE ENDOCRINE INC,2025,0,0.3748662441436953
022473,16,VIATRIS,2023,0,0.37381670929423816
