appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap,ref_date,ref_method,p_crl,p_source,risk_band,raw_p_uncalibrated,confidence_flag,_coverage,_feature_sources,p_rescore_offline,crosscheck_abs_diff
219694,NDA,219694,NDA219694,10/22/2025,2025,SYDNEXIS Inc.,CRL_NDA219694_20251022.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,12073,,,,,,,,,2024-12-22,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
220049,NDA,220049,NDA220049,08/18/2025,2025,"PTC Therapeutics, Inc.",CRL_NDA220049_20250818.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,14405,,,,,,,,,2024-10-18,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
761290,BLA,761290,BLA761290,01/31/2025,2025,"SFJ Pharmaceuticals, Inc.",CRL_BLA761290_20250131.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,7485,,,,,,,,,2024-04-02,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219846,NDA,219846,NDA219846,10/23/2025,2025,"Shanghai Auzone Biological Technology Co., Ltd.",CRL_NDA219846_20251023.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6307,,,,,,,,,2024-12-23,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
761401,BLA,761401,BLA761401,04/10/2026,2026,Telix Pharmaceuticals (US) Inc.,CRL_BLA761401_20260410.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,10439,,,,,,,,,2025-06-10,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
217382,NDA,217382,NDA217382,06/02/2025,2025,ResQ Pharma,CRL_NDA217382_20250602.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,21955,,,,,,,,,2024-08-02,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
215818,NDA,215818,NDA215818,04/25/2025,2025,"Fresenius Kabi USA, LLC",CRL_NDA215818_20250425.pdf,1,False,2,text_first_cycle,first_cycle_orig,1,6595,,,,,,,,,2024-06-25,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
220707,NDA,220707,NDA220707,02/13/2026,2026,"Disc Medicine, Inc.",CRL_NDA220707_20260213.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,9626,,,,,,,,,2025-04-15,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
761253,BLA,761253,BLA761253,02/27/2026,2026,Ferring Pharmaceuticals Inc.,CRL_BLA761253_20260227.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6662,,,,,,,,,2025-04-29,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
218607,NDA,218607,NDA218607,06/27/2025,2025,Unicycive Therapeutics Inc.,CRL_NDA218607_20250627.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6941,,,,,,,,,2024-08-27,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
761463,BLA,761463,BLA761463,09/22/2025,2025,"Scholar Rock, Inc.",CRL_BLA761463_20250922.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,10773,,,,,,,,,2024-11-22,letter_date_minus_clock_estimated,0.39266577,offline_builder_scored,high,0.48835475,low_confidence_sponsor;moderate_confidence_no_edgar_signal;probability_extrapolation,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
217719,NDA,217719,NDA217719,03/10/2025,2025,"Laurus Generics, Inc.",CRL_NDA217719_20250310.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,3409,,,,,,,,,2024-05-10,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
217711,NDA,217711,NDA217711,08/27/2025,2025,"Vyluma, Inc.",CRL_NDA 217711_20250827.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,10419,,,,,,,,,2024-10-27,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
