appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap
219474,NDA,219474,NDA219474,,,,,,,,,,0,,ACROTECH BIOPHARMA,STANDARD,2026-02-12,2026,A_prospective_2026,0.11669271505280158,,
219622,NDA,219622,NDA219622,,,,,,,,,,0,,CHIESI FARMACEUTICI SPA,STANDARD,2026-05-14,2026,A_prospective_2026,0.16211021661664932,,
219804,NDA,219804,NDA219804,,,,,,,,,,0,,"LACHMAN CONSULTANT SERVICES , INC.",STANDARD,2026-05-07,2026,A_prospective_2026,0.19437208871404596,,
219835,NDA,219835,NDA219835,,,,,,,,,,0,,ARVINAS OPERATIONS,STANDARD,2026-05-01,2026,A_prospective_2026,0.012126563128385408,,
219873,NDA,219873,NDA219873,,,,,,,,,,0,,ETON,STANDARD,2026-02-25,2026,A_prospective_2026,0.056780990867227044,,
219878,NDA,219878,NDA219878,,,,,,,,,,0,,ASTRAZENECA PHARMS,PRIORITY,2026-05-15,2026,A_prospective_2026,0.1259925244304564,,
220089,NDA,220089,NDA220089,,,,,,,,,,0,,APHELION,STANDARD,2026-03-06,2026,A_prospective_2026,0.243981472854955,,
220092,NDA,220092,NDA220092,,,,,,,,,,0,,JANSSEN PRODS,STANDARD,2026-02-27,2026,A_prospective_2026,0.20672586215050545,,
220142,NDA,220142,NDA220142,,,,,,,,,,0,,VISUS,STANDARD,2026-01-28,2026,A_prospective_2026,0.19437208871404596,,
220149,NDA,220149,NDA220149,,,,,,,,,,0,,JANSSEN BIOTECH,PRIORITY,2026-03-17,2026,A_prospective_2026,0.04174227871792006,,
220200,NDA,220200,NDA220200,,,,,,,,,,0,,AVYXA HOLDINGS,STANDARD,2026-02-13,2026,A_prospective_2026,0.17778629609983693,,
